"sistema";"uf_sigla";"uf_codigo";"uf_nome";"granularidade";"filtro_cid";"periodo";"valor"
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2016/Dez";152
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2017/Jan";187
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2017/Fev";173
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2017/Mar";267
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2017/Abr";209
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2017/Mai";233
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2017/Jun";201
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2017/Jul";195
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2017/Ago";177
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2017/Set";184
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2017/Out";184
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2017/Nov";175
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2017/Dez";176
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2018/Jan";219
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2018/Fev";218
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2018/Mar";206
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2018/Abr";225
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2018/Mai";252
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2018/Jun";230
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2018/Jul";197
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2018/Ago";206
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2018/Set";197
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2018/Out";196
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2018/Nov";192
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2018/Dez";220
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2019/Jan";229
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2019/Fev";210
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2019/Mar";245
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2019/Abr";226
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2019/Mai";253
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2019/Jun";252
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2019/Jul";231
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2019/Ago";191
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2019/Set";216
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2019/Out";199
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2019/Nov";190
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2019/Dez";220
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2020/Jan";230
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2020/Fev";198
